Context,Answer
"How to put on, use, take off and dispose of a mask?","Remember, a mask should only be used by health workers, care takers, and individuals with respiratory symptoms, such as fever and cough."
"How to put on, use, take off and dispose of a mask?","Before touching the mask, clean hands with an alcohol-based hand rub or soap and water"
How long is the incubation period for COVID-19?,The “incubation period” means the time between catching the virus and beginning to have symptoms of the disease.
How long is the incubation period for COVID-19?,"Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days. These estimates will be updated as more data become available."
Can humans be infected with the COVID-19 from an animal source?,"Coronaviruses are a large family of viruses that are common in animals. Occasionally, people get infected with these viruses which may then spread to other people."
Can humans be infected with the COVID-19 from an animal source?,SARS-CoV was associated with civet cats and MERS-CoV is transmitted by dromedary camels. 
Can humans be infected with the COVID-19 from an animal source?,Possible animal sources of COVID-19 have not yet been confirmed.  
Can humans be infected with the COVID-19 from an animal source?,"To protect yourself, such as when visiting live animal markets, avoid direct contact with animals and surfaces in contact with animals."
Can humans be infected with the COVID-19 from an animal source?,"Handle raw meat, milk or animal organs with care to avoid contamination of uncooked foods and avoid consuming raw or undercooked animal products."
Can I catch COVID-19 from my pet?,"While there has been one instance of a dog being infected in Hong Kong, to date, there is no evidence that a dog, cat or any pet can transmit COVID-19."
Can I catch COVID-19 from my pet?,"COVID-19 is mainly spread through droplets produced when an infected person coughs, sneezes, or speaks."
How long does the virus survive on surfaces?,"It is not certain how long the virus that causes COVID-19 survives on surfaces, but it seems to behave like other coronaviruses."
How long does the virus survive on surfaces?,"Studies suggest that coronaviruses (including preliminary information on the COVID-19 virus) may persist on surfaces for a few hours or up to several days. This may vary under different conditions (e.g. type of surface, temperature or humidity of the environment)."
How long does the virus survive on surfaces?,"If you think a surface may be infected, clean it with simple disinfectant to kill the virus and protect yourself and others."
Is it safe to receive a package from any area where COVID-19 has been reported?,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low. "
Is there anything I should not do?,Smoking
Is there anything I should not do?,Wearing multiple masks
Is there anything I should not do?,Taking antibiotics
Is the source causing COVID-19 known?,"Currently, the source of SARS-CoV-2, the coronavirus (CoV) causing COVID-19 is unknown."
How did the first human SARS-CoV-2 infections occur?,"The first human cases of COVID-19 were identified in Wuhan City, China in December 2019."
How did the first human SARS-CoV-2 infections occur?,"SARS-CoV, the virus which caused the SARS outbreak in 2003, jumped from an animal reservoir (civet cats, a farmed wild animal) to humans and then spread between humans. "
How did the first human SARS-CoV-2 infections occur?,"Until the source of this virus is identified and controlled, there is a risk of reintroduction of the virus in the human population and the risk of new outbreaks like the ones we are currently experiencing."
Is COVID-19 airborne?,"The virus that causes COVID-19 is mainly transmitted through droplets generated when an infected person coughs, sneezes, or speaks. These droplets are too heavy to hang in the air. They quickly fall on floors or surfaces. "
Are pregnant women at higher risk from COVID-19?,At present there is no evidence that they are at higher risk of severe illness than the general population.
Are pregnant women at higher risk from COVID-19?,"due to changes in their bodies and immune systems, we know that pregnant women can be badly affected by some respiratory infections. It is therefore important that they take precautions to protect themselves against COVID-19, and report possible symptoms (including fever, cough or difficulty breathing) to their healthcare provider."
I'm pregnant. How can I protect myself against COVID-19?,Pregnant women should take the same precautions to avoid COVID-19 infection as other people.
I'm pregnant. How can I protect myself against COVID-19?,Pregnant women and women who have recently delivered – including those affected by COVID-19 - should attend their routine care appointments. 
Should pregnant women be tested for COVID-19?,Testing protocols and eligibility vary depending on where you live.
Can COVID-19 be passed from a woman to her unborn baby?,"We still do not know if a pregnant woman with COVID-19 can pass the virus to her foetus or baby during pregnancy or delivery. To date, the virus has not been found in samples of amniotic fluid or breastmilk."
What care should be available during pregnancy and childbirth?,"All pregnant women, including those with confirmed or suspected COVID-19 infections, have the right to high quality care before, during and after childbirth. "
Do pregnant women with suspected or confirmed COVID-19 need to give birth by ceasarean section?,No. WHO advice is that caesarean sections should only be performed when medically justified.
Can women with COVID-19 breastfeed?,Yes. Women with COVID-19 can breastfeed if they wish to do so.
Can I touch and hold my newborn baby if I have COVID-19?,"Yes. Close contact and early, exclusive breastfeeding helps a baby to thrive. "
How are COVID-19 and influenza viruses similar?,"COVID-19 and influenza viruses have a similar disease presentation. That is, they both cause respiratory disease, which presents as a wide range of illness from asymptomatic or mild through to severe disease and death."
How are COVID-19 and influenza viruses similar?,"Both viruses are transmitted by contact, droplets and fomites."
How are COVID-19 and influenza viruses different?,The speed of transmission is an important point of difference between the two viruses. Influenza has a shorter median incubation period (the time from infection to appearance of symptoms) and a shorter serial interval (the time between successive cases) than COVID-19 virus.
How are COVID-19 and influenza viruses different?,"Those most at risk for severe influenza infection are children, pregnant women, elderly, those with underlying chronic medical conditions and those who are immunosuppressed."
How are COVID-19 and influenza viruses different?,"Mortality for COVID-19 appears higher than for influenza, especially seasonal influenza."
What medical interventions are available for COVID-19 and influenza viruses?,"While there are a number of therapeutics currently in clinical trials in China and more than 20 vaccines in development for COVID-19, there are currently no licensed vaccines or therapeutics for COVID-19."
Are smokers and tobacco users at higher risk of COVID-19 infection?,Smokers are likely to be more vulnerable to COVID-19 as the act of smoking means that fingers (and possibly contaminated cigarettes) are in contact with lips which increases the possibility of transmission of virus from hand to mouth.
Are smokers and tobacco users at higher risk of COVID-19 infection?,"Smoking products such as water pipes often involve the sharing of mouth pieces and hoses, which could facilitate the transmission of COVID-19 in communal and social settings."
How large does a meeting or event need to be in order to be a “mass gathering”?,High profile international sporting events such as the Olympics or World Cups as well as international religious events such as the Hajj count as mass gatherings.
How large does a meeting or event need to be in order to be a “mass gathering”?,An event counts as a “mass gatherings” if the number of people it brings together is so large that it has the potential to strain the planning and response resources of the health system in the community where it takes place. 
Does WHO recommend that all international mass gatherings be cancelled because of COVID-19?,"No. As each international mass gathering is different, the factors to consider when determining if the event should be cancelled may also differ. "
